id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0BQpyaFrb78b9uobWNheqx,0.605,0.786,4.0,-4.138,0.0379,0.00276,0.0,0.347,0.512,116.995
6IW4TUC3zHW4tpikDg1w7Y,0.669,0.552,0.0,-7.98,0.0587,0.807,0.000874,0.321,0.488,100.102
19ZzEzb4BVK1wVO4brrmZz,0.59,0.846,4.0,-4.251,0.0396,0.182,0.0,0.53,0.733,146.028
0ysCB1Jg4hli0XlEWlipo7,0.653,0.927,8.0,-4.699,0.0289,0.0352,4.47e-05,0.0966,0.894,119.97
4aRAElCM6ve3OISZnU7adb,0.626,0.84,10.0,-6.945,0.0533,0.117,0.0,0.216,0.737,144.087
3bF0cfm6aZ7rQlZAyklEeb,0.643,0.636,0.0,-4.927,0.0288,0.135,0.0,0.114,0.777,89.991
3J5jotqUAjU479WhAiNkpU,0.563,0.847,1.0,-4.493,0.0468,0.0891,0.0,0.121,0.666,96.06
3ZozFqJJlDBNIm4xqxn2ZD,0.649,0.76,1.0,-6.487,0.0574,0.114,0.0,0.317,0.843,80.018
2t6lQWC69f2ybmd6VTO2vU,0.57,0.395,10.0,-7.435,0.0325,0.719,0.0,0.144,0.13,153.77
5Ykc3Wr4L4wef5QDdaaxM7,0.473,0.802,10.0,-4.497,0.037,0.00036,0.0,0.304,0.453,145.983
0pJLfGfCgmr0z9WRjwY7A3,0.645,0.732,3.0,-5.089,0.0453,0.00853,2.62e-05,0.198,0.708,95.02
3TuMOIzXkhKFDNHyQ7Mo8J,0.553,0.609,1.0,-6.436,0.0469,0.151,0.0,0.112,0.471,73.903
0R1REdJZIDy7IS3DybdBce,0.515,0.838,7.0,-3.82,0.0306,0.0423,0.000211,0.115,0.328,156.033
0uxbkVqzKkxeVszRa0LFnb,0.432,0.883,8.0,-4.267,0.0776,0.0148,1.67e-06,0.338,0.624,136.079
4CkgMiMqZ5JzW9iYXSTMTL,0.391,0.715,0.0,-4.516,0.0495,0.167,0.0,0.183,0.473,149.654
15npbUjCgwt2lRvyrJvyxw,0.757,0.705,2.0,-5.084,0.0252,0.0375,5.8e-06,0.114,0.855,104.972
5EDtmgwR1lDmDGLZraNpJg,0.487,0.796,7.0,-3.9,0.0339,0.0197,0.000192,0.327,0.44,76.037
0vzSAyinyA619ZbrOaAi04,0.59,0.633,2.0,-5.452,0.0328,0.619,0.0,0.157,0.751,179.856
7A4WmJcWx6KrVRfQ2CP8e7,0.528,0.718,7.0,-6.954,0.0337,0.1,0.0,0.304,0.51,155.759
3z610KBfuClGcA7ywI19w8,0.628,0.675,0.0,-3.534,0.0598,0.27,1.46e-06,0.133,0.655,130.159
2CqfyB7PQznYxHNSmmF6lE,0.599,0.899,4.0,-3.574,0.0492,0.129,0.0,0.333,0.792,91.036
6H4TyfdTbm1bIaBkXiyvvw,0.515,0.69,9.0,-5.631,0.0274,0.0598,0.0,0.193,0.254,145.087
6JSH36hKFusIabTu1egYO5,0.714,0.766,6.0,-4.42,0.0365,0.0957,0.00183,0.0595,0.665,114.964
5vyONuW3HK0kJQBkrSp25B,0.55,0.683,4.0,-6.914,0.0362,0.0361,1.75e-06,0.334,0.24,87.053
5YsPrfAtcCzMIc4BHTsxP5,0.603,0.927,9.0,-2.598,0.0562,0.0446,0.0,0.0565,0.815,109.938
5gTQD1FjKMqUisgSD0uyb1,0.54,0.87,8.0,-4.635,0.0487,0.0678,0.0,0.12,0.494,97.991
